Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,source
Paulo Otávio,221611,€3.00m,"May 28, 2025","Nov 23, 1994",30,1.73,Brazil,[],Left-Back,,Al-Sadd,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Dario Gebuhr,666168,€225k,"Jun 11, 2025","May 6, 2003",22,1.88,Germany,[],Centre-Back,,Hansa Rostock,,,"Jul 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
André Hahn,42783,,,"Aug 13, 1990",34,1.85,Germany,[],Right Winger,,KSV Urberach,,,"Aug 8, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Angelo Stiller,443710,€45.00m,"Jun 5, 2025","Apr 4, 2001",24,1.83,Germany,[],Defensive Midfield,,VfB Stuttgart,,,"Aug 25, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Yann Sommer,42205,€4.00m,"Jun 17, 2025","Dec 17, 1988",36,1.83,Switzerland,[],Goalkeeper,,Inter,,,"Aug 7, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Randal Kolo Muani,487969,€30.00m,"Jun 17, 2025","Dec 5, 1998",26,1.87,France,[],Centre-Forward,,Paris SG,,,"Sep 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Yussuf Poulsen,157635,€5.00m,"Jun 5, 2025","Jun 15, 1994",31,1.92,Denmark,[],Centre-Forward,,Hamburger SV,,,"Jul 13, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Maxim Leitsch,334207,€1.50m,"Jun 5, 2025","May 18, 1998",27,1.89,Germany,[],Centre-Back,,1.FSV Mainz 05,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Justin Njinmah,596153,€7.00m,"Jun 5, 2025","Nov 15, 2000",24,1.85,Germany,[],Right Winger,,Werder Bremen,,,"Jan 5, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Makoto Hasebe,39259,,,"Jan 18, 1984",41,1.8,Japan,[],Defensive Midfield,,Retired,E. Frankfurt,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Arne Maier,296397,€4.00m,"Jun 5, 2025","Jan 8, 1999",26,1.86,Germany,[],Central Midfield,,FC Augsburg,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Georginio Rutter,538977,€32.00m,"May 30, 2025","Apr 20, 2002",23,1.82,France,[],Centre-Forward,,Brighton,,,"Aug 19, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marcus Ingvartsen,269878,€4.00m,"Jun 5, 2025","Jan 4, 1996",29,1.87,Denmark,[],Centre-Forward,,San Diego,,,"Jan 31, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Daniel Klein,392124,€150k,"Jun 5, 2025","Mar 13, 2001",24,1.93,Germany,[],Goalkeeper,,FC Augsburg,,,"Jul 2, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Aymen Barkok,315332,€500k,"Jun 19, 2025","May 21, 1998",27,1.89,Morocco,"['Germany', 'Morocco']",Attacking Midfield,"                  0
0  Central Midfield
1    Right Midfield",Without Club,FC Schalke 04,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jae-sung Lee,314398,€2.50m,"Jun 5, 2025","Aug 10, 1992",32,1.8,"Korea, South",[],Attacking Midfield,,1.FSV Mainz 05,,,"Jul 8, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Julian Weigl,196792,€6.00m,"Jun 5, 2025","Sep 8, 1995",29,1.86,Germany,[],Defensive Midfield,,Bor. M'gladbach,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tony Jantschke,47587,,,"Apr 7, 1990",35,1.77,Germany,[],Right-Back,,Retired,Bor. M'gladbach,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ben Bobzien,658116,€1.20m,"Jun 6, 2025","Apr 29, 2003",22,1.74,Germany,[],Centre-Forward,,1.FSV Mainz 05,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Renato Veiga,805714,€25.00m,"Jun 17, 2025","Jul 29, 2003",22,1.9,Portugal,"['Cape Verde', 'Portugal']",Centre-Back,"                    0
0           Left-Back
1  Defensive Midfield",Chelsea,,,"Jul 12, 2024","Jun 30, 2031",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Benjamin Hübner,52348,,,"Jul 4, 1989",36,1.93,Germany,['Germany'],Centre-Back,"                    0
0           Left-Back
1  Defensive Midfield",Retired,TSG Hoffenheim,"Dec 6, 2022",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ermin Bicakcic,51676,€400k,"Jun 19, 2025","Jan 24, 1990",35,1.85,Bosnia-Herzegovina,[],Centre-Back,,Without Club,E. Braunschweig,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Silvan Widmer,168989,€1.20m,"Jun 5, 2025","Mar 5, 1993",32,1.83,Switzerland,[],Right-Back,,1.FSV Mainz 05,,,"Jul 9, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Stefan Lainer,85791,€1.20m,"Jun 5, 2025","Aug 27, 1992",32,1.75,Austria,[],Right-Back,,RB Salzburg,,,"Jun 8, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ludovic Ajorque,283994,€4.00m,"Jun 3, 2025","Feb 25, 1994",31,1.96,France,"['France', 'Réunion']",Centre-Forward,,Stade Brestois,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nico Schulz,85867,€300k,"Jun 25, 2025","Apr 1, 1993",32,1.8,Germany,[],Left-Back,,Without Club,Ankaragücü,"Jul 7, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Timo Werner,170527,€7.00m,"May 30, 2025","Mar 6, 1996",29,1.8,Germany,[],Left Winger,,RB Leipzig,,,"Aug 9, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Maximilian Bauer,388363,€2.00m,"Jun 19, 2025","Feb 9, 2000",25,1.89,Germany,[],Centre-Back,,FC Augsburg,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jonas Omlin,247915,€2.50m,"Jun 5, 2025","Jan 10, 1994",31,1.9,Switzerland,[],Goalkeeper,,Bor. M'gladbach,,,"Jan 19, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Lucas Alario,193782,€700k,"Jun 2, 2025","Oct 8, 1992",32,1.85,Argentina,[],Centre-Forward,,Estudiantes LP,,,"Jan 15, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nathanaël Mbuku,557614,€1.00m,"Jun 9, 2025","Mar 16, 2002",23,1.7,DR Congo,[],Left Winger,,Montpellier,,,"Jul 8, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marcel Sabitzer,106987,€8.00m,"Jun 5, 2025","Mar 17, 1994",31,1.78,Austria,[],Central Midfield,,Bor. Dortmund,,,"Jul 24, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Thomas Müller,58358,€6.00m,"Jun 5, 2025","Sep 13, 1989",35,1.85,Germany,['Germany'],Second Striker,"                    0
0  Attacking Midfield
1        Right Winger",Without Club,Bayern Munich,"Aug 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Florian Wirtz,598577,€140.00m,"Jun 5, 2025","May 3, 2003",22,1.77,Germany,['Germany'],Attacking Midfield,"                0
0    Right Winger
1  Second Striker",Liverpool,,,"Jul 1, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Pavao Pervan,51977,€300k,"Jun 5, 2025","Nov 13, 1987",37,1.94,Austria,[],Goalkeeper,,VfL Wolfsburg,,,"Jul 1, 2018","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Diant Ramaj,448705,€7.00m,"Jun 16, 2025","Sep 19, 2001",23,1.89,Germany,[],Goalkeeper,,Heidenheim,,,"Jul 28, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Eduardo Quaresma,504073,€18.00m,"May 30, 2025","Mar 2, 2002",23,1.85,Portugal,['Portugal'],Centre-Back,"            0
0  Right-Back",Sporting CP,,,"Mar 1, 2020","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Péter Gulácsi,57071,€2.00m,"Jun 5, 2025","May 6, 1990",35,1.93,Hungary,[],Goalkeeper,,RB Leipzig,,,"Jul 1, 2015","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Julien Duranville,819215,€8.50m,"Jun 5, 2025","May 5, 2006",19,1.73,Belgium,[],Left Winger,,Bor. Dortmund,,,"Jan 27, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Robert Skov,270393,€4.00m,"Jun 5, 2025","May 20, 1996",29,1.85,Denmark,[],Left Midfield,,Union Berlin,,,"Sep 4, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Patrick Herrmann,32711,,,"Feb 12, 1991",34,1.79,Germany,[],Right Winger,,Retired,Bor. M'gladbach,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Antonios Papadopoulos,482573,€3.50m,"Jun 10, 2025","Sep 10, 1999",25,1.86,Greece,[],Centre-Back,,FC Lugano,,,"Jul 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Aymen Barkok,315332,€500k,"Jun 19, 2025","May 21, 1998",27,1.89,Morocco,[],Attacking Midfield,,Without Club,FC Schalke 04,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Felix Uduokhai,278343,€7.00m,"Jun 18, 2025","Sep 9, 1997",27,1.93,Germany,[],Centre-Back,,Besiktas,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Junior Dina Ebimbe,536482,€6.00m,"Jun 5, 2025","Nov 21, 2000",24,1.84,France,[],Right Midfield,,E. Frankfurt,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Luca Unbehaun,388815,€350k,"Jun 9, 2025","Feb 27, 2001",24,1.87,Germany,[],Goalkeeper,,FC Emmen,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nathan Ngoumou,629588,€4.00m,"Jun 5, 2025","Mar 14, 2000",25,1.85,Cameroon,[],Right Winger,,Bor. M'gladbach,,,"Aug 30, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mahmoud Dahoud,191422,€3.50m,"Jun 5, 2025","Jan 1, 1996",29,1.78,Syria,[],Central Midfield,,E. Frankfurt,,,"Aug 30, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Noussair Mazraoui,340456,€25.00m,"May 30, 2025","Nov 14, 1997",27,1.83,Morocco,[],Right-Back,,Man Utd,,,"Aug 13, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Melayro Bogarde,476915,€800k,"Jun 6, 2025","May 28, 2002",23,1.86,Netherlands,[],Centre-Back,,LASK,,,"Jul 1, 2024","May 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Donyell Malen,326029,€25.00m,"May 30, 2025","Jan 19, 1999",26,1.76,Netherlands,[],Right Winger,,Aston Villa,,,"Jan 14, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Luca Waldschmidt,196095,€2.00m,"Jun 19, 2025","May 19, 1996",29,1.81,Germany,[],Centre-Forward,,1.FC Köln,,,"Jul 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Hrvoje Smolcic,571299,€2.00m,"Jun 6, 2025","Aug 17, 2000",24,1.85,Croatia,[],Centre-Back,,E. Frankfurt,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Bouna Sarr,190685,€700k,"Apr 4, 2025","Jan 31, 1992",33,1.78,Senegal,"['Senegal', 'France']",Right-Back,"                0
0  Right Midfield
1    Right Winger",Without Club,Bayern Munich,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Karim Onisiwo,119234,€800k,"Jun 6, 2025","Mar 17, 1992",33,1.88,Austria,[],Centre-Forward,,RB Salzburg,,,"Jan 2, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marius Wolf,193900,€3.00m,"Jun 5, 2025","May 27, 1995",30,1.88,Germany,[],Right-Back,,FC Augsburg,,,"Aug 8, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kevin Vogt,84435,€1.00m,"Jun 5, 2025","Sep 23, 1991",33,1.94,Germany,[],Centre-Back,,VfL Bochum,,,"Jul 7, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Dayot Upamecano,344695,€50.00m,"Jun 5, 2025","Oct 27, 1998",26,1.86,France,[],Centre-Back,,Bayern Munich,,,"Jul 5, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jakub Kaminski,407098,€5.00m,"Jun 5, 2025","Jun 5, 2002",23,1.79,Poland,[],Left Winger,,1.FC Köln,,,"Jul 4, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kevin Akpoguma,160241,€2.50m,"Jun 5, 2025","Apr 19, 1995",30,1.92,Nigeria,[],Centre-Back,,TSG Hoffenheim,,,"Jul 1, 2013","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Julian Weigl,196792,€6.00m,"Jun 5, 2025","Sep 8, 1995",29,1.86,Germany,['Germany'],Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",Bor. M'gladbach,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Abdou Diallo,229005,€5.00m,"May 28, 2025","May 4, 1996",29,1.86,Senegal,"['Senegal', 'France']",Centre-Back,"                    0
0           Left-Back
1  Defensive Midfield",Al-Arabi SC,,,"Aug 15, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Omar Marmoush,445939,€75.00m,"May 30, 2025","Feb 7, 1999",26,1.83,Egypt,[],Centre-Forward,,Man City,,,"Jan 23, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Hugo Novoa,668276,€1.50m,"Jun 9, 2025","Jan 24, 2003",22,1.82,Spain,[],Right-Back,,Alavés,,,"Jul 22, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Hannes Wolf,321070,€3.50m,"Jun 5, 2025","Apr 16, 1999",26,1.79,Austria,[],Right Winger,,New York City,,,"Jan 31, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Bouna Sarr,190685,€700k,"Apr 4, 2025","Jan 31, 1992",33,1.78,Senegal,[],Right-Back,,Without Club,Bayern Munich,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Niklas Süle,166601,€8.00m,"Jun 5, 2025","Sep 3, 1995",29,1.95,Germany,['Germany'],Centre-Back,"            0
0  Right-Back",Bor. Dortmund,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marvin Friedrich,196231,€3.50m,"Jun 5, 2025","Dec 13, 1995",29,1.93,Germany,[],Centre-Back,,Bor. M'gladbach,,,"Jan 11, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Lukas Ambros,671548,€550k,"Jun 6, 2025","Jun 5, 2004",21,1.82,Czech Republic,[],Attacking Midfield,,Górnik Zabrze,,,"Jul 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Fisnik Asllani,524290,€8.00m,"Jun 19, 2025","Aug 8, 2002",22,1.91,Kosovo,[],Centre-Forward,,TSG Hoffenheim,,,"Jan 4, 2022","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Muhammed Damar,789898,€7.00m,"Jun 19, 2025","Apr 9, 2004",21,1.85,Germany,[],Attacking Midfield,,TSG Hoffenheim,,,"Jul 1, 2022","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Alexander Meyer,76158,€800k,"Jun 5, 2025","Apr 13, 1991",34,1.95,Germany,[],Goalkeeper,,Bor. Dortmund,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Stefan Lainer,85791,€1.20m,"Jun 5, 2025","Aug 27, 1992",32,1.75,Austria,['Austria'],Right-Back,"                0
0  Right Midfield",RB Salzburg,,,"Jun 8, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Simon Simoni,726120,€600k,"Jun 19, 2025","Jul 14, 2004",21,1.95,Albania,[],Goalkeeper,,1.FC K'lautern,,,"Jan 15, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Eric-Maxim Choupo-Moting,45660,€1.50m,"Jun 5, 2025","Mar 23, 1989",36,1.91,Cameroon,[],Centre-Forward,,New York,,,"Jan 1, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jeremie Frimpong,484547,€50.00m,"Jun 5, 2025","Dec 10, 2000",24,1.72,Netherlands,[],Right-Back,,Liverpool,,,"Jul 1, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Lasse Rieß,490609,€400k,"Jun 5, 2025","Jul 27, 2001",24,1.92,Germany,[],Goalkeeper,,1.FSV Mainz 05,,,"Jul 1, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Luca Philipp,432671,€750k,"Jun 5, 2025","Nov 28, 2000",24,1.92,Germany,[],Goalkeeper,,TSG Hoffenheim,,,"Jul 31, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mattias Svanberg,342405,€12.00m,"Jun 5, 2025","Jan 5, 1999",26,1.85,Sweden,[],Central Midfield,,VfL Wolfsburg,,,"Jul 16, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Brajan Gruda,700106,€25.00m,"May 30, 2025","May 31, 2004",21,1.78,Germany,[],Right Winger,,Brighton,,,"Aug 14, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Florian Niederlechner,152963,€400k,"Jun 19, 2025","Oct 24, 1990",34,1.87,Germany,[],Centre-Forward,,1860 Munich,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kevin Kampl,53418,€2.50m,"Jun 5, 2025","Oct 9, 1990",34,1.78,Slovenia,"['Germany', 'Slovenia']",Central Midfield,"                0
0  Right Midfield
1   Left Midfield",RB Leipzig,,,"Aug 31, 2017","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Caden Clark,742297,€1.80m,"Jun 5, 2025","May 27, 2003",22,1.8,United States,[],Attacking Midfield,,Montréal,,,"Aug 8, 2024","Dec 31, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Niklas Klinger,192268,€100k,"Jun 5, 2025","Oct 13, 1995",29,1.87,Germany,[],Goalkeeper,,Without Club,VfL Wolfsburg,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Moussa Diaby,395516,€30.00m,"May 27, 2025","Jul 7, 1999",26,1.7,France,"['France', 'Mali']",Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Al-Ittihad,,,"Jul 24, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Soumaïla Coulibaly,659513,€8.00m,"Jun 3, 2025","Oct 14, 2003",21,1.91,France,[],Centre-Back,,R. Strasbourg,,,"Jul 7, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Diadié Samassékou,315604,€1.00m,"Jun 5, 2025","Jan 11, 1996",29,1.77,Mali,[],Defensive Midfield,,Without Club,TSG Hoffenheim,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Manuel Neuer,17259,€4.00m,"Jun 5, 2025","Mar 27, 1986",39,1.93,Germany,[],Goalkeeper,,Bayern Munich,,,"Jul 1, 2011","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Luca Pellegrini,346567,€3.00m,"Jun 17, 2025","Mar 7, 1999",26,1.78,Italy,[],Left-Back,,Lazio,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Conor Noß,520857,€350k,"Jun 6, 2025","Jan 1, 2001",24,1.82,Ireland,[],Left Winger,,MSV Duisburg,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Frederik Winther,569349,€700k,"Jun 18, 2025","Jan 4, 2001",24,1.9,Denmark,[],Centre-Back,,Hammarby,,,"Mar 27, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Rafal Gikiewicz,78339,€250k,"Jun 6, 2025","Oct 26, 1987",37,1.9,Poland,[],Goalkeeper,,Widzew Lodz,,,"Feb 13, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Aurélio Buta,258039,€5.00m,"Jun 3, 2025","Feb 10, 1997",28,1.72,Portugal,[],Right-Back,,E. Frankfurt,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Alexander Hack,126281,€1.00m,"Jun 5, 2025","Sep 8, 1993",31,1.93,Germany,[],Centre-Back,,New York,,,"Jan 31, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Amine Adli,532776,€18.00m,"Jun 5, 2025","May 10, 2000",25,1.8,Morocco,[],Left Winger,,B. Leverkusen,,,"Aug 26, 2021","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Simon Walde,912455,€300k,"Jun 23, 2025","Jan 4, 2005",20,1.85,Germany,[],Right-Back,,M'gladbach II,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kasper Dolberg,283196,€13.00m,"Jun 12, 2025","Oct 6, 1997",27,1.87,Denmark,[],Centre-Forward,,RSC Anderlecht,,,"Jul 7, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Timothy Chandler,49723,€350k,"Jun 5, 2025","Mar 29, 1990",35,1.87,United States,[],Right-Back,,E. Frankfurt,,,"Jul 1, 2014","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
