name,Age,Citizenship,Contract expiration,DOB,Height (m),ID,Joined,Last club,Market value history,Nationality,Other positions,Position,Since,Team,Transfer history,Value,Value last updated,assists,games,goals,id,key_passes,npg,npxG,position,red_cards,shots,source,team,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
Ryan Gravenberch,23,[],"Jun 30, 2028","May 16, 2002",1.9,478573,"Sep 1, 2023",,,Netherlands,,Defensive Midfield,,Liverpool,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€75.00m,"May 30, 2025",0,24,0,10697,9,0,0.7752301301807165,M S,0,11,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,527,0.36440723948180676,0.7752301301807165,4.252635369077325,5.134856633841991,1
Sven Ulreich,36,['Germany'],"Jun 30, 2026","Aug 3, 1988",1.92,40680,"Jul 1, 2021",,,Germany,,Goalkeeper,,Bayern Munich,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€500k,"Jun 5, 2025",0,3,0,231,0,0,0,GK,0,0,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,270,0,0,2.159881640225649,2.159881640225649,0
Christoph Baumgartner,26,[],"Jun 30, 2028","Aug 1, 1999",1.8,324278,"Jul 1, 2023",,,Austria,,Attacking Midfield,,RB Leipzig,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€12.00m,"Jun 5, 2025",3,33,7,7422,23,7,7.250016514211893,F M,0,65,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,2628,4.0532108983024955,7.250016514211893,5.3768909545615315,14.899143129587173,7
Konrad Laimer,28,[],"Jun 30, 2027","May 27, 1997",1.8,223967,"Jul 1, 2023",,,Austria,,Right-Back,,Bayern Munich,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€25.00m,"Jun 5, 2025",0,21,3,6109,16,3,3.229747664183378,M S,0,20,understat,https://understat.com/team/RasenBallsport_Leipzig/2022,RasenBallsport Leipzig,1482,2.0900166016072035,3.229747664183378,3.8706196919083595,8.843641895800829,8
Niklas Dorsch,27,[],"Jun 30, 2028","Jan 15, 1998",1.78,251302,"Aug 30, 2024",,,Germany,,Defensive Midfield,,Heidenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.50m,"Jun 5, 2025",0,11,0,6411,1,0,0,M S,0,0,understat,https://understat.com/team/Augsburg/2022,Augsburg,471,0.31455934047698975,0,0.4861020967364311,0.4861020967364311,1
Angeliño,28,[],"Jun 30, 2028","Jan 4, 1997",1.71,277179,"Jul 1, 2024",,,Spain,,Left-Back,,AS Roma,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€20.00m,"Jun 17, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Tom Rothe,20,['Germany'],-,"Oct 29, 2004",1.93,798043,"Aug 7, 2024",,,Germany,"             0
0    Left-Back
1  Centre-Back",Left Midfield,,Union Berlin,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€10.00m,"Jun 5, 2025",0,2,0,10550,0,0,0.0984577015042305,S,0,1,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,20,0,0.0984577015042305,0,0,0
Mohamed Simakan,25,[],"Jun 30, 2029","May 3, 2000",1.87,666234,"Sep 2, 2024",,,France,,Centre-Back,,Al-Nassr,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€23.00m,"May 27, 2025",1,24,1,7551,11,1,2.333084085956216,D S,0,12,understat,https://understat.com/team/RasenBallsport_Leipzig/2022,RasenBallsport Leipzig,1462,1.239668756723404,2.333084085956216,3.202450942248106,4.416493048891425,2
Jonas Wind,26,[],"Jun 30, 2026","Feb 7, 1999",1.9,391004,"Jan 31, 2022",,,Denmark,,Centre-Forward,,VfL Wolfsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€12.00m,"Jun 5, 2025",0,24,6,10394,14,6,4.390843458473682,F S,0,30,understat,https://understat.com/team/Wolfsburg/2022,Wolfsburg,1311,1.4154658820480108,5.148620136082172,2.81390243396163,7.339821260422468,1
Stanley Nsoki,26,[],"Jun 30, 2026","Apr 9, 1999",1.84,371141,"Jul 24, 2025",,,France,,Centre-Back,,Union Berlin,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.50m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Semir Telalovic,25,"['Germany', 'Bosnia-Herzegovina']",-,"Dec 23, 1999",1.87,583767,"Jul 1, 2025",,,Germany,,Centre-Forward,,1.FC Nuremberg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.50m,"Jun 19, 2025",0,3,0,11332,0,0,0.024247264489531517,S,0,1,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,3,0,0.024247264489531517,0,0.024247264489531517,0
Manuel Neuer,39,[],"Jun 30, 2026","Mar 27, 1986",1.93,17259,"Jul 1, 2011",,,Germany,,Goalkeeper,,Bayern Munich,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 5, 2025",0,12,0,217,0,0,0.09729409962892532,GK,0,2,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,1080,0,0.09729409962892532,4.543590784072876,4.543590784072876,0
Jesper Lindstrøm,25,[],"Jun 30, 2026","Feb 29, 2000",1.82,513245,"Jul 23, 2025",,,Denmark,,Right Winger,,VfL Wolfsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€18.00m,"May 30, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Mamadou Doucouré,27,[],,"May 21, 1998",1.83,340480,,Bor. M'gladbach,,France,,Centre-Back,"Jul 1, 2024",Without Club,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",,,,,,,,,,,,,transfermarkt,,,,,,,,
Nico Elvedi,28,[],"Jun 30, 2027","Sep 30, 1996",1.89,192635,"Jul 1, 2015",,,Switzerland,,Centre-Back,,Bor. M'gladbach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€8.00m,"Jun 5, 2025",0,32,3,212,5,3,2.208632368594408,D,0,18,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,2831,0.2827197015285492,2.208632368594408,10.89331953972578,10.999466136097908,2
Felix Nmecha,24,[],"Jun 30, 2028","Oct 10, 2000",1.9,406640,"Jul 3, 2023",,,Germany,,Central Midfield,,Bor. Dortmund,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€28.00m,"Jun 5, 2025",5,30,3,9202,20,3,3.1746669095009565,M S,0,37,understat,https://understat.com/team/Wolfsburg/2022,Wolfsburg,1824,3.0094010084867477,3.1746669095009565,5.571464359760284,8.86590768583119,3
Göktan Gürpüz,22,[],"Jun 30, 2026","Jan 22, 2003",1.78,655912,"Jul 31, 2025",,,Türkiye,,Attacking Midfield,,Genclerbirligi,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.00m,"Jun 25, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Edmond Tapsoba,26,[],"Jun 30, 2028","Feb 2, 1999",1.94,564545,"Jan 31, 2020",,,Burkina Faso,,Centre-Back,,B. Leverkusen,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€35.00m,"Jun 5, 2025",0,33,1,8317,5,0,1.0496511161327362,D M S,0,15,understat,https://understat.com/team/Bayer_Leverkusen/2022,Bayer Leverkusen,2874,1.0476770903915167,2.565204307436943,12.333076603710651,13.109413214027882,5
Dennis Geiger,27,[],"Jun 30, 2027","Jun 10, 1998",1.73,251309,"Jul 1, 2016",,,Germany,,Central Midfield,,TSG Hoffenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.00m,"Jun 5, 2025",3,27,1,6081,35,1,0.16566114127635956,M,0,5,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,2019,2.4861039081588387,0.16566114127635956,5.599420048296452,7.273835579864681,9
Oliver Baumann,35,[],"Jun 30, 2026","Jun 2, 1990",1.87,55089,"Jul 1, 2014",,,Germany,,Goalkeeper,,TSG Hoffenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.00m,"Jun 5, 2025",0,34,0,73,1,0,0,GK,0,0,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,3060,0.00703067984431982,0,4.141943376511335,4.148974056355655,2
Umut Tohumcu,20,[],"Jun 30, 2028","Aug 11, 2004",1.75,569031,"Jan 18, 2023",,,Germany,,Central Midfield,,TSG Hoffenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€6.00m,"Jun 5, 2025",0,8,0,10595,2,0,0.11018069926649332,M S,0,4,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,261,0.06893181428313255,0.11018069926649332,0.15843009389936924,0.32312571071088314,0
Serge Gnabry,30,[],"Jun 30, 2026","Jul 14, 1995",1.76,159471,"Jul 1, 2017",,,Germany,,Left Winger,,Bayern Munich,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€22.00m,"Jun 5, 2025",5,34,14,993,36,13,10.791569046676159,F M S,0,82,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,1950,5.648855604231358,11.549345068633556,10.335147313773632,24.274701070040464,0
Andrej Kramaric,34,[],"Jun 30, 2026","Jun 19, 1991",1.77,46580,"Jul 1, 2016",,,Croatia,,Attacking Midfield,,TSG Hoffenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 5, 2025",3,32,12,956,31,8,8.108478620648384,F M S,0,63,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,2413,1.6903651049360633,12.65513789653778,8.000660603865981,16.094462648034096,3
Ridle Baku,27,[],"Jun 30, 2027","Apr 8, 1998",1.76,327251,"Jan 10, 2025",,,Germany,,Right-Back,,RB Leipzig,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€9.00m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Moritz Nicolas,27,[],"Jun 30, 2029","Oct 21, 1997",1.93,284270,"Jul 1, 2016",,,Germany,,Goalkeeper,,Bor. M'gladbach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€5.00m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Stefan Bell,33,[],"Jun 30, 2026","Aug 24, 1991",1.92,82350,"Jul 1, 2010",,,Germany,,Centre-Back,,1.FSV Mainz 05,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€800k,"Jun 5, 2025",0,30,0,40,7,0,0.7811163887381554,D S,0,7,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,2399,0.3608082067221403,0.7811163887381554,2.2802903093397617,2.6135575026273727,9
Daley Blind,35,[],"Jun 30, 2026","Mar 9, 1990",1.8,12282,"Jul 7, 2023",,,Netherlands,,Centre-Back,,Girona,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.50m,"Jun 9, 2025",0,4,0,548,2,0,0.0419234000146389,D S,0,1,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,126,0.10187599807977676,0.0419234000146389,1.225990042090416,1.304740995168686,0
Paulo Otávio,30,[],"Jun 30, 2026","Nov 23, 1994",1.73,221611,"Jul 1, 2023",,,Brazil,,Left-Back,,Al-Sadd,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.00m,"May 28, 2025",5,25,0,8213,23,0,0.5616206908598542,D M,0,19,understat,https://understat.com/team/Wolfsburg/2022,Wolfsburg,2070,3.4950895430520177,0.5616206908598542,4.861743248067796,7.3325059516355395,8
Dario Gebuhr,22,[],"Jun 30, 2027","May 6, 2003",1.88,666168,"Jul 1, 2024",,,Germany,,Centre-Back,,Hansa Rostock,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€225k,"Jun 11, 2025",0,1,0,11511,0,0,0,S,0,0,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,17,0,0,0,0,0
André Hahn,34,[],-,"Aug 13, 1990",1.85,42783,"Aug 8, 2024",,,Germany,,Right Winger,,KSV Urberach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",,,0,7,2,412,1,2,0.30461249127984047,D F M S,0,7,understat,https://understat.com/team/Augsburg/2022,Augsburg,382,0.06533119827508926,0.30461249127984047,0.4914739057421684,0.8064089696854353,1
Angelo Stiller,24,[],"Jun 30, 2028","Apr 4, 2001",1.83,443710,"Aug 25, 2023",,,Germany,,Defensive Midfield,,VfB Stuttgart,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€45.00m,"Jun 5, 2025",1,20,1,9725,2,1,0.24482049513608217,M S,0,7,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,677,0.8041299879550934,0.24482049513608217,2.648747604340315,3.2991620153188705,0
Yann Sommer,36,[],"Jun 30, 2026","Dec 17, 1988",1.83,42205,"Aug 7, 2023",,,Switzerland,,Goalkeeper,,Inter,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 17, 2025",0,10,0,199,0,0,0,GK,0,0,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,900,0,0,3.2929993979632854,3.2929993979632854,0
Randal Kolo Muani,26,"['France', 'DR Congo']","Jun 30, 2028","Dec 5, 1998",1.87,487969,"Sep 1, 2023",,,France,"              0
0  Right Winger
1   Left Winger",Centre-Forward,,Paris SG,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€30.00m,"Jun 17, 2025",11,32,15,5743,41,13,13.125744855031371,F M S,1,77,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,2671,7.074136344715953,14.64113382063806,3.378522824496031,21.198371678590775,4
Yussuf Poulsen,31,[],"Jun 30, 2027","Jun 15, 1994",1.92,157635,"Jul 13, 2025",,,Denmark,,Centre-Forward,,Hamburger SV,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€5.00m,"Jun 5, 2025",1,19,2,5250,8,2,1.9865181352943182,F S,0,13,understat,https://understat.com/team/RasenBallsport_Leipzig/2022,RasenBallsport Leipzig,376,1.671581469476223,1.9865181352943182,1.9471512846648693,3.930041965097189,1
Maxim Leitsch,27,[],"Jun 30, 2026","May 18, 1998",1.89,334207,"Jul 1, 2022",,,Germany,,Centre-Back,,1.FSV Mainz 05,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.50m,"Jun 5, 2025",0,9,0,9703,1,0,0.08464550320059061,D S,0,2,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,659,0.014026399701833725,0.08464550320059061,0.8041619826108217,0.827564986422658,0
Justin Njinmah,24,[],"Jun 30, 2027","Nov 15, 2000",1.85,596153,"Jan 5, 2022",,,Germany,,Right Winger,,Werder Bremen,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€7.00m,"Jun 5, 2025",0,1,0,10585,0,0,0,S,0,0,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,19,0,0,0,0,0
Makoto Hasebe,41,[],,"Jan 18, 1984",1.8,39259,,E. Frankfurt,,Japan,,Defensive Midfield,"Jul 1, 2024",Retired,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",,,0,18,0,282,2,0,0,D S,0,0,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,1317,0.35587285459041595,0,2.43730428814888,2.753947287797928,1
Arne Maier,26,[],"Jun 30, 2026","Jan 8, 1999",1.86,296397,"Jul 1, 2022",,,Germany,,Central Midfield,,FC Augsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 5, 2025",1,30,5,5298,21,5,1.9074955079704523,D M S,0,28,understat,https://understat.com/team/Augsburg/2022,Augsburg,2000,1.5759431831538677,1.9074955079704523,2.6259657125920057,5.386207904666662,3
Georginio Rutter,23,[],"Jun 30, 2028","Apr 20, 2002",1.82,538977,"Aug 19, 2024",,,France,,Centre-Forward,,Brighton,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€32.00m,"May 30, 2025",2,15,2,6937,9,2,3.2202591560781,F S,0,27,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,1023,1.474237971007824,3.2202591560781,0.9381819702684879,5.45018583163619,2
Marcus Ingvartsen,29,[],"Dec 31, 2027","Jan 4, 1996",1.87,269878,"Jan 31, 2025",,,Denmark,,Centre-Forward,,San Diego,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 5, 2025",0,28,10,7883,6,6,6.350403893738985,F M S,0,36,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,1313,0.7966726366430521,9.38143016025424,2.5980356596410275,7.678540274500847,2
Daniel Klein,24,[],"Jun 30, 2026","Mar 13, 2001",1.93,392124,"Jul 2, 2021",,,Germany,,Goalkeeper,,FC Augsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€150k,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Aymen Barkok,27,[],,"May 21, 1998",1.89,315332,,FC Schalke 04,,Morocco,,Attacking Midfield,"Jul 1, 2025",Without Club,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€500k,"Jun 19, 2025",1,23,0,5235,7,0,0.39138801116496325,M S,0,11,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,529,0.7371878288686275,0.39138801116496325,0.7496449705213308,1.786135796457529,1
Jae-sung Lee,32,[],"Jun 30, 2026","Aug 10, 1992",1.8,314398,"Jul 8, 2021",,,"Korea, South",,Attacking Midfield,,1.FSV Mainz 05,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.50m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Julian Weigl,29,['Germany'],"Jun 30, 2028","Sep 8, 1995",1.86,196792,"Jul 1, 2023",,,Germany,"                  0
0  Central Midfield
1       Centre-Back",Defensive Midfield,,Bor. M'gladbach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€6.00m,"Jun 5, 2025",0,23,1,372,6,0,0.1725317994132638,M S,0,8,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,1892,0.5656399503350258,0.9302280703559518,7.725211024284363,7.779653295874596,6
Tony Jantschke,35,[],,"Apr 7, 1990",1.77,47587,,Bor. M'gladbach,,Germany,,Right-Back,"Jul 1, 2024",Retired,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",,,0,8,0,201,0,0,0,D S,0,0,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,99,0,0,0.57704097032547,0.57704097032547,0
Ben Bobzien,22,[],"Jun 30, 2027","Apr 29, 2003",1.74,658116,"Jul 1, 2022",,,Germany,,Centre-Forward,,1.FSV Mainz 05,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.20m,"Jun 6, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Renato Veiga,22,[],"Jun 30, 2031","Jul 29, 2003",1.9,805714,"Jul 12, 2024",,,Portugal,,Centre-Back,,Chelsea,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€25.00m,"Jun 17, 2025",0,13,0,11383,2,0,0.2196661764755845,D S,0,8,understat,https://understat.com/team/Augsburg/2022,Augsburg,632,0.1612498201429844,0.2196661764755845,0.7065835222601891,0.8151247007772326,3
Benjamin Hübner,36,['Germany'],,"Jul 4, 1989",1.93,52348,,TSG Hoffenheim,,Germany,"                    0
0           Left-Back
1  Defensive Midfield",Centre-Back,"Dec 6, 2022",Retired,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",,,,,,,,,,,,,transfermarkt,,,,,,,,
Ermin Bicakcic,35,[],,"Jan 24, 1990",1.85,51676,,E. Braunschweig,,Bosnia-Herzegovina,,Centre-Back,"Jul 1, 2025",Without Club,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€400k,"Jun 19, 2025",0,9,0,84,0,0,0,S,0,0,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,236,0,0,0.36578961089253426,0.36578961089253426,0
Silvan Widmer,32,[],"Jun 30, 2026","Mar 5, 1993",1.83,168989,"Jul 9, 2021",,,Switzerland,,Right-Back,,1.FSV Mainz 05,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.20m,"Jun 5, 2025",2,26,2,1139,15,2,2.7354020038619637,D S,0,20,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,1680,2.0287047550082207,2.7354020038619637,4.287014581263065,8.177862845361233,0
Stefan Lainer,32,['Austria'],"Jun 30, 2027","Aug 27, 1992",1.75,85791,"Jun 8, 2025",,,Austria,"                0
0  Right Midfield",Right-Back,,RB Salzburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.20m,"Jun 5, 2025",0,17,0,7831,8,0,0.911996278911829,D S,0,6,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,819,1.0357914343476295,0.911996278911829,3.378446452319622,4.927086777985096,2
Nico Schulz,32,[],,"Apr 1, 1993",1.8,85867,,Ankaragücü,,Germany,,Left-Back,"Jul 7, 2025",Without Club,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€300k,"Jun 25, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Timo Werner,29,[],"Jun 30, 2026","Mar 6, 1996",1.8,170527,"Aug 9, 2022",,,Germany,,Left Winger,,RB Leipzig,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€7.00m,"May 30, 2025",3,27,9,65,20,9,9.723146203905344,F M S,0,61,understat,https://understat.com/team/RasenBallsport_Leipzig/2022,RasenBallsport Leipzig,1965,2.870787415653467,9.723146203905344,3.861814394593239,14.621947288513184,2
Maximilian Bauer,25,[],"Jun 30, 2027","Feb 9, 2000",1.89,388363,"Jul 1, 2022",,,Germany,,Centre-Back,,FC Augsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.00m,"Jun 19, 2025",1,27,0,9716,4,0,1.2504343139007688,D S,0,8,understat,https://understat.com/team/Augsburg/2022,Augsburg,1841,0.44647486321628094,1.2504343139007688,3.5541260205209255,3.578761273995042,8
Jonas Omlin,31,['Switzerland'],"Jun 30, 2027","Jan 10, 1994",1.9,247915,"Jan 19, 2023",,,Switzerland,,Goalkeeper,,Bor. M'gladbach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.50m,"Jun 5, 2025",0,15,0,8678,2,0,0,GK,0,0,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,1290,0.10093392431735992,0,2.100709518417716,2.201643444597721,0
Lucas Alario,32,[],"Dec 31, 2026","Oct 8, 1992",1.85,193782,"Jan 15, 2025",,,Argentina,,Centre-Forward,,Estudiantes LP,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€700k,"Jun 2, 2025",0,20,1,6338,1,1,1.3475146889686584,F S,0,11,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,290,0.058938201516866684,1.3475146889686584,1.0743135064840317,2.426865501329303,0
Nathanaël Mbuku,23,[],"Jun 30, 2026","Mar 16, 2002",1.7,557614,"Jul 8, 2025",,,DR Congo,,Left Winger,,Montpellier,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.00m,"Jun 9, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Marcel Sabitzer,31,[],"Jun 30, 2027","Mar 17, 1994",1.78,106987,"Jul 24, 2023",,,Austria,,Central Midfield,,Bor. Dortmund,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€8.00m,"Jun 5, 2025",1,15,1,5248,6,1,1.0313598802313209,M S,0,15,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,622,0.2817846015095711,1.0313598802313209,4.288550337776542,5.416687596589327,2
Thomas Müller,35,[],,"Sep 13, 1989",1.85,58358,,Bayern Munich,,Germany,,Second Striker,"Aug 1, 2025",Without Club,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€6.00m,"Jun 5, 2025",8,27,7,224,39,7,9.138495799154043,F M S,0,46,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,1681,8.518348589539528,9.138495799154043,11.05475202202797,25.59187649935484,0
Florian Wirtz,22,[],"Jun 30, 2030","May 3, 2003",1.77,598577,"Jul 1, 2025",,,Germany,,Attacking Midfield,,Liverpool,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€140.00m,"Jun 5, 2025",6,17,1,8397,39,1,0.583570022135973,F M S,0,7,understat,https://understat.com/team/Bayer_Leverkusen/2022,Bayer Leverkusen,1089,4.696660354733467,0.583570022135973,5.08792663551867,9.336530420929193,4
Pavao Pervan,37,[],"Jun 30, 2026","Nov 13, 1987",1.94,51977,"Jul 1, 2018",,,Austria,,Goalkeeper,,VfL Wolfsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€300k,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Diant Ramaj,23,[],"Jun 30, 2026","Sep 19, 2001",1.89,448705,"Jul 28, 2025",,,Germany,,Goalkeeper,,Heidenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€7.00m,"Jun 16, 2025",0,1,0,9753,0,0,0,GK,0,0,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,90,0,0,0,0,0
Eduardo Quaresma,23,[],"Jun 30, 2028","Mar 2, 2002",1.85,504073,"Mar 1, 2020",,,Portugal,,Centre-Back,,Sporting CP,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€18.00m,"May 30, 2025",0,4,0,11001,0,0,0,D S,0,0,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,82,0,0,0.5079216994345188,0.5079216994345188,0
Péter Gulácsi,35,[],"Jun 30, 2026","May 6, 1990",1.93,57071,"Jul 1, 2015",,,Hungary,,Goalkeeper,,RB Leipzig,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.00m,"Jun 5, 2025",0,6,0,5241,0,0,0,GK,0,0,understat,https://understat.com/team/RasenBallsport_Leipzig/2022,RasenBallsport Leipzig,540,0,0,1.7651097681373358,1.7651097681373358,0
